ownership_utility,buy_threshold_k,final_reward
0.0,38.5,-403.30837873754456
0.25,36.5,-297.1936177916029
0.5,37.5,-191.16468612728715
0.75,35.5,-152.79334889838728
1.0,36.0,-72.20091508033596
